
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
CopyTagsToComments,19.0,23.0,6.0,48.0,30.0,62.0,56.0,589.0,  
EmbeddedLookup,8.0,8.0,15.0,21.0,16.0,45.0,30.0,1560.0,  
IncludeDependency,4.0,4.0,0.0,18.0,10.0,19.0,19.0,6.0,  
trimNullByte,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
getFileSizeSyscall,5.0,5.0,1.0,22.0,14.0,23.0,22.0,9.0,  
__construct,24.0,26.0,17.0,74.0,52.0,102.0,85.0,41472.0,  
version,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
fread_buffer_size,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
setOption,4.0,5.0,0.0,12.0,7.0,12.0,12.0,9.0,  
openfile,10.0,16.0,18.0,60.0,47.0,81.0,63.0,289.0,  
analyze,27.0,34.0,22.0,107.0,79.0,148.0,126.0,7372801.0,  
error,2.0,2.0,0.0,8.0,5.0,8.0,8.0,2.0,  
warning,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
CleanUp,12.0,16.0,5.0,34.0,21.0,45.0,40.0,1200.0,  
GetFileFormatArray,2.0,2.0,86.0,381.0,4.0,534.0,448.0,2.0,  
GetFileFormat,5.0,7.0,12.0,20.0,15.0,36.0,24.0,16.0,  
CharConvert,5.0,5.0,4.0,13.0,7.0,21.0,17.0,8.0,  
HandleAllTags,30.0,32.0,13.0,103.0,51.0,122.0,109.0,434200.0,  
getHashdata,13.0,18.0,24.0,64.0,47.0,122.0,98.0,54.0,  
ChannelsBitratePlaytimeCalculations,17.0,34.0,17.0,40.0,27.0,63.0,46.0,1296000.0,  
CalculateCompressionRatioVideo,13.0,14.0,0.0,43.0,31.0,46.0,46.0,168.0,  
CalculateCompressionRatioAudio,7.0,12.0,0.0,14.0,8.0,15.0,15.0,250.0,  
CalculateReplayGain,7.0,7.0,0.0,20.0,12.0,21.0,21.0,33.0,  
ProcessAudioStreams,5.0,7.0,0.0,12.0,6.0,12.0,12.0,7.0,  
getid3_tempnam,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
include_module,2.0,2.0,1.0,7.0,4.0,8.0,7.0,2.0,  
__construct,2.0,2.0,0.0,6.0,3.0,7.0,7.0,2.0,  
Analyze,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,  
AnalyzeString,2.0,2.0,7.0,13.0,11.0,24.0,17.0,5.0,  
setStringMode,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
ftell,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
fread,3.0,3.0,0.0,11.0,7.0,11.0,11.0,4.0,  
fseek,8.0,8.0,0.0,27.0,20.0,29.0,29.0,9.0,  
feof,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
isDependencyFor,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
error,1.0,1.0,0.0,4.0,2.0,6.0,6.0,1.0,  
warning,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
notice,1.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,  
saveAttachment,13.0,18.0,12.0,42.0,31.0,67.0,55.0,1357.0,  
__construct,3.0,3.0,2.0,9.0,5.0,11.0,9.0,3.0,  
Analyze,178.0,189.0,348.0,919.0,826.0,1420.0,1072.0,4.9377173E16,  
ASFCodecListObjectTypeLookup,3.0,3.0,0.0,9.0,6.0,10.0,10.0,10.0,  
KnownGUIDs,1.0,1.0,2.0,113.0,2.0,113.0,111.0,1.0,  
